IdLocal|Localizacion
0|Sin Datos
1|Piscinas publicas con vigilancia
2|Piscinas domesticas no vigiladas
3|Playas con vigilancia
4|Sistemas de recogida, transporte o almacenamiento de agua
5|Aguas interiores sin vigilancia
6|Entorno marino
7|Franja costera o alta mar
8|Rios, canales y similares
9|Embalses, Pantanos
10|Parque acuatico
11|Piscinas urbanización o privadas no vigiladas
12|Piscinas de equipamientos hoteleros y similares
13|Piscinas de urbanizaciones con vigilancia
14|Playas sin vigilancia
15|Puertos, embarcaderos, amarres
16|Aguas interiores con vigilancia
17|Otros
18|Bañera
19|Contenedor de agua, cubo, fuente, etc
