IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8427||ABLA|SPAIN|37-08-29N|002-46-46W|885|
|LETU|ABLITAS, AERODROMO|SPAIN|42-00-40N|001-37-26W|324|
8486||ADRA - CLUB NAUTICO|SPAIN|36-44-48N|003-01-14W|8|
8432||AGUILAS|SPAIN|37-25-00N|001-35-12W|32|
8019||AGUION|SPAIN|43-28N|006-18W|923|
8380||ALAJAR - CABEZO MOLIN|SPAIN|37-52-05N|006-40-27W|572|
8279||ALBACETE - OBS.|SPAIN|39-00-19N|001-51-42W|679|
8280|LEAB|ALBACETE / LOS LLANOS|SPAIN|38-57N|001-51W|702|
8490||ALBORAN - ISLA|SPAIN|35-56-17N|003-02-08W|15|
8164||ALCAÑIZ|SPAIN|41-03-28N|000-08-29W|334|
|LEAG|ALGECIRAS, HELIPUERTO|SPAIN|36-07-44N|005-26-28W|30|
8475||ALHAURIN EL GRANDE|SPAIN|36-37N|004-39W|1164|
8359||ALICANTE|SPAIN|38-22N|000-30W|81|
8360|LEAL|ALICANTE / EL ALTET|SPAIN|38-17N|000-33W|43|
8349|LEAO|ALMAGRO-FAMET|SPAIN|38-57N|003-45W|622|
8487|LEAM|ALMERIA / AEROPUERTO|SPAIN|36-51N|002-23W|15|
8217||ALTO DE LOS LEONES|SPAIN|40-42-23N|004-08-30W|1532|
8347||ANDUJAR|SPAIN|38-01-23N|004-03-50W|202|
8913||ANSO, REFUGIO DE LINZA|SPAIN|42-54N|000-48W|1340|
8413||ANTEQUERA - BOBADILLA|SPAIN|37-01-45N|004-44-53W|408|
8095||ARAGUES DEL PUERTO|SPAIN|42-42-29N|000-40-23W|1040|
8911||ARAGUES DEL PUERTO, LIZARRA|SPAIN|42-46N|000-38W|1540|
8144||ARANDA DE DUERO|SPAIN|41-40-00N|003-44-29W|790|
8229||ARANJUEZ|SPAIN|40-04-08N|003-32-40W|540|
8186||ARENYS DE MAR|SPAIN|41-35-12N|002-32-24E|74|
8352||ARROYO DEL OJANCO|SPAIN|38-18-52N|002-53-21W|580|
60028||ARTENARA|SPAIN|28-01N|015-37W|1681|
8107||ARTIES|SPAIN|42-42-01N|000-52-36E|1161|
8916||ASTUN,' ESQUI 1730|SPAIN|42-49N|000-30W|1730|
8011|LEAS|ASTURIAS / AVILES|SPAIN|43-33N|006-02W|127|
8210||AVILA|SPAIN|40-39N|004-42W|1130|
8381||AYAMONTE - ISLA CANEL|SPAIN|37-11-39N|007-23-40W|2|
8330|LEBZ|BADAJOZ / TALAVERA LA REAL|SPAIN|38-53N|006-49W|185|
8934||BAQUEIRA|SPAIN|42-42N|000-57E|1880|
8081||BAQUIO|SPAIN|43-24N|002-50W|585|
8180||BARCELONA - CMT|SPAIN|41-23-26N|002-12-00E|25|
8181|LEBL|BARCELONA / AEROPUERTO|SPAIN|41-17N|002-04E|4|
8190||BARCELONA SERVEI|SPAIN|41-23N|002-07E|95|
8087||BARDENAS REALES|SPAIN|42-12N|001-27W|295|
|LEBR|BARDENAS REALES|SPAIN|42-11-10N|001-29-02W|300|
8424||BAZA - CRUZ ROJA|SPAIN|37-30-19N|002-44-03W|785|
8077||BELORADO|SPAIN|42-25-14N|003-10-13W|820|
8928||BENASQUE,' REFUGIO DE ESTOS|SPAIN|42-41N|000-29E|1890|
8056||BENAVENTE|SPAIN|42-00-38N|005-40-00W|715|
|LEBT|BETERA, HELIPUERTO|SPAIN|39-37-28N|000-28-20W|127|
8103||BIELSA|SPAIN|42-37-48N|000-13-27E|990|
8927||BIELSA, REFUGIO DE PINETA|SPAIN|42-40N|000-06E|1350|
8025|LEBB|BILBAO / SONDICA|SPAIN|43-18N|002-56W|42|
8932||BOI TAHULL|SPAIN|42-29N|000-52E|2020|
8146||BUITRAGO|SPAIN|41-00-24N|003-36-48W|1026|
8165||BUJARALOZ|SPAIN|41-31-18N|000-10-27W|357|Hasta 20180611
8075|LEBG|BURGOS / VILLAFRIA|SPAIN|42-22N|003-38W|894|
8010||CABO BUSTO|SPAIN|43-34-08N|006-28-10W|63|
8012||CABO PEÑAS|SPAIN|43-39-20N|005-50-53W|100|
8006||CABO VILAN|SPAIN|43-09-38N|009-12-38W|50|
8261||CACERES|SPAIN|39-28N|006-20W|405|
8452||CADIZ, OBS.|SPAIN|36-30N|006-16W|8|
8153||CADREITA|SPAIN|42-12-24N|001-42-41W|268|
8233||CALAMOCHA|SPAIN|40-56N|001-18W|890|
8166||CALANDA|SPAIN|40-56-48N|000-14-16W|480|
8156||CALATAYUD|SPAIN|41-19-49N|001-38-43W|600|
8958||CAMARENA DE LA SIERRA|SPAIN|40-07N|001-02W|1520|
8914||CANDANCHU,' ETUKSA|SPAIN|42-47N|000-32W|1560|
8230||CAÑIZARES|SPAIN|40-31-49N|002-08-58W|940|
8940||CAP DE RAC|SPAIN|42-25-49N|001-40-04E|1940|Desde 20141101
8936||CAP DE VAQUEIRA|SPAIN|42-41-31N|000-58-26E|2467|Desde 20141101
8311||CAPDEPERA - FARO|SPAIN|39-42-56N|003-28-39E|57|
8365||CARAVACA - FUENTES DEL|SPAIN|38-06-06N|001-52-36W|643|
8488||CARBONERAS - C.TERM.|SPAIN|36-58-45N|001-54-11W|12|
8068||CARRION DE LOS CONDE|SPAIN|42-21-02N|004-37-00W|830|
8434||CARTAGENA|SPAIN|37-36-06N|000-59-12W|17|
8165||CASPER|SPAIN|41-14-32N|000-04-06W|203|Desde 20180612
8286||CASTELLON|SPAIN|39-57N|000-04W|36|
|LECH|CASTELLON / AEROPUERTO|SPAIN|40-12-51N|000-04-25E|360|
8431||CASTILLO GALERAS|SPAIN|37-35N|001-00W|219|
8386||CASTILLO LAS GUARDAS|SPAIN|37-41N|006-20W|520|
8020||CASTRO URDIALES|SPAIN|43-23-40N|003-14-02W|45|
8009||CASTROPOL|SPAIN|43-32-05N|007-01-06W|40|
8392||CAZALLA DE LA SIERRA|SPAIN|37-55-35N|005-46-09W|550|
8353||CAZORLA|SPAIN|37-54-56N|003-00-11W|813|
8007||CERCEDA|SPAIN|43-10N|008-31W|608|
8930||CERLER,' ESQUI|SPAIN|42-35N|000-32E|1540|
8058||CERVERA DE PISUERGA|SPAIN|42-52-14N|004-31-09W|1140|
60320||CEUTA|SPAIN|35-54N|005-19W|2|
