ID|ESTACION|IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8427|ABLA|8427.0||ABLA|SPAIN|37-08-29N|002-46-46W|885|
8486|ADRA,CLUB NAUTICO|8486.0||ADRA - CLUB NAUTICO|SPAIN|36-44-48N|003-01-14W|8|
8432|AGUILAS|8432.0||AGUILAS|SPAIN|37-25-00N|001-35-12W|32|
8019|AGUION|8019.0||AGUION|SPAIN|43-28N|006-18W|923|
8380|ALAJAR, CABEZO MOLIN|8380.0||ALAJAR - CABEZO MOLIN|SPAIN|37-52-05N|006-40-27W|572|
8279|ALBACETE,OBS.|8279.0||ALBACETE - OBS.|SPAIN|39-00-19N|001-51-42W|679|
8280|ALBACETE/LOS LLANOS|8280.0|LEAB|ALBACETE / LOS LLANOS|SPAIN|38-57N|001-51W|702|
8164|ALCANIZ|8164.0||ALCAÑIZ|SPAIN|41-03-28N|000-08-29W|334|
8475|ALHAURIN EL GRANDE|8475.0||ALHAURIN EL GRANDE|SPAIN|36-37N|004-39W|1164|
8359|ALICANTE|8359.0||ALICANTE|SPAIN|38-22N|000-30W|81|
8360|ALICANTE/EL ALTET|8360.0|LEAL|ALICANTE / EL ALTET|SPAIN|38-17N|000-33W|43|
8349|ALMAGRO-FAMET|8349.0|LEAO|ALMAGRO-FAMET|SPAIN|38-57N|003-45W|622|
8487|ALMERIA/AEROPUERTO|8487.0|LEAM|ALMERIA / AEROPUERTO|SPAIN|36-51N|002-23W|15|
8217|ALTO DE LOS LEONES|8217.0||ALTO DE LOS LEONES|SPAIN|40-42-23N|004-08-30W|1532|
8347|ANDUJAR|8347.0||ANDUJAR|SPAIN|38-01-23N|004-03-50W|202|
8913|ANSO, REFUGIO DE LINZA|8913.0||ANSO, REFUGIO DE LINZA|SPAIN|42-54N|000-48W|1340|
8413|ANTEQUERA-BOBADILLA|8413.0||ANTEQUERA - BOBADILLA|SPAIN|37-01-45N|004-44-53W|408|
8911|ARAGUES DEL PUERTO, LIZARRA|8911.0||ARAGUES DEL PUERTO, LIZARRA|SPAIN|42-46N|000-38W|1540|
8095|ARAGUES DEL PUERTO|8095.0||ARAGUES DEL PUERTO|SPAIN|42-42-29N|000-40-23W|1040|
8144|ARANDA DE DUERO|8144.0||ARANDA DE DUERO|SPAIN|41-40-00N|003-44-29W|790|
