ID|ESTACION
8427|ABLA
8486|ADRA,CLUB NAUTICO
8432|AGUILAS
8019|AGUION
8380|ALAJAR, CABEZO MOLIN
8279|ALBACETE,OBS.
8280|ALBACETE/LOS LLANOS
8164|ALCANIZ
8475|ALHAURIN EL GRANDE
8359|ALICANTE
8360|ALICANTE/EL ALTET
8349|ALMAGRO-FAMET
8487|ALMERIA/AEROPUERTO
8217|ALTO DE LOS LEONES
8347|ANDUJAR
8913|ANSO, REFUGIO DE LINZA
8413|ANTEQUERA-BOBADILLA
8911|ARAGUES DEL PUERTO, LIZARRA
8095|ARAGUES DEL PUERTO
8144|ARANDA DE DUERO
8229|ARANJUEZ
8186|ARENYS DE MAR
8352|ARROYO DEL OJANCO
8107|ARTIES
8011|ASTURIAS/AVILES
8210|AVILA
8381|AYAMONTE, ISLA CANEL
8330|BADAJOZ/TALAVERA LA REAL
8081|BAKIO
8934|BAQUEIRA
8190|BARCELONA SERVEI
8180|BARCELONA,CMT
8181|BARCELONA/AEROPUERTO
8087|BARDENAS REALES
8424|BAZA, CRUZ ROJA
8077|BELORADO
8928|BENASQUE, REFUGIO DE ESTOS
8056|BENAVENTE
8927|BIELSA, REFUGIO DE PINETA
8103|BIELSA
8025|BILBAO/AEROPUERTO
8932|BOI TAHULL
8146|BUITRAGO
8075|BURGOS/VILLAFRIA
8010|CABO BUSTO
8012|CABO PENAS
8006|CABO VILAN
8261|CACERES
8452|CADIZ, OBS.
8233|CALAMOCHA
8166|CALANDA
8156|CALATAYUD
8958|CAMARENA DE LA SIERRA
8914|CANDANCHU, ETUKSA
8230|CANIZARES
8940|CAP DE RAC
8936|CAP DE VAQUEIRA
8311|CAPDEPERA-FAR0
8365|CARAVACA,FUENTES DEL
8068|CARRION DE LOS CONDE
8434|CARTAGENA
8165|CASPE
8286|CASTELLON-ALMAZORA
8386|CASTILLO LAS GUARDAS
8020|CASTRO URDIALES
8009|CASTROPOL
8392|CAZALLA DE LA SIERRA
8353|CAZORLA
8007|CERCEDA
8930|CERLER, ESQU COTA 2000
8058|CERVERA DE PISUERGA
8278|CHINCHILLA/CENAD
8363|CIEZA, PARQUE DE BOM
8348|CIUDAD REAL
8219|COLMENAR VIEJO/FAMET
8179|CORBERA, PIC D'AGULLES
8410|CORDOBA/AEROPUERTO
8251|CORIA
8231|CUENCA
8289|CULLERA
8157|DAROCA I
8412|DOA MENCIA
8333|DON BENITO
8395|ECIJA
