ID|ESTACION|Latitud|Longitud
8427|ABLA|37-08-29N|002-46-46W
8486|ADRA,CLUB NAUTICO|36-44-48N|003-01-14W
8432|AGUILAS|37-25-00N|001-35-12W
8019|AGUION|43-28N|006-18W
8380|ALAJAR, CABEZO MOLIN|37-52-05N|006-40-27W
8279|ALBACETE,OBS.|39-00-19N|001-51-42W
8280|ALBACETE/LOS LLANOS|38-57N|001-51W
8164|ALCANIZ|41-03-28N|000-08-29W
8475|ALHAURIN EL GRANDE|36-37N|004-39W
8359|ALICANTE|38-22N|000-30W
8360|ALICANTE/EL ALTET|38-17N|000-33W
8349|ALMAGRO-FAMET|38-57N|003-45W
8487|ALMERIA/AEROPUERTO|36-51N|002-23W
8217|ALTO DE LOS LEONES|40-42-23N|004-08-30W
8347|ANDUJAR|38-01-23N|004-03-50W
8913|ANSO, REFUGIO DE LINZA|42-54N|000-48W
8413|ANTEQUERA-BOBADILLA|37-01-45N|004-44-53W
8911|ARAGUES DEL PUERTO, LIZARRA|42-46N|000-38W
8095|ARAGUES DEL PUERTO|42-42-29N|000-40-23W
8144|ARANDA DE DUERO|41-40-00N|003-44-29W
8229|ARANJUEZ|40-04-08N|003-32-40W
8186|ARENYS DE MAR|41-35-12N|002-32-24E
8352|ARROYO DEL OJANCO|38-18-52N|002-53-21W
8107|ARTIES|42-42-01N|000-52-36E
8011|ASTURIAS/AVILES|43-33N|006-02W
8210|AVILA|40-39N|004-42W
8381|AYAMONTE, ISLA CANEL|37-11-39N|007-23-40W
8330|BADAJOZ/TALAVERA LA REAL|38-53N|006-49W
8081|BAKIO|43-24N|002-50W
8934|BAQUEIRA|42-42N|000-57E
8190|BARCELONA SERVEI|41-23N|002-07E
8180|BARCELONA,CMT|41-23-26N|002-12-00E
8181|BARCELONA/AEROPUERTO|41-17N|002-04E
8087|BARDENAS REALES|42-12N|001-27W
8424|BAZA, CRUZ ROJA|37-30-19N|002-44-03W
8077|BELORADO|42-25-14N|003-10-13W
8928|BENASQUE, REFUGIO DE ESTOS|42-41N|000-29E
8056|BENAVENTE|42-00-38N|005-40-00W
8927|BIELSA, REFUGIO DE PINETA|42-40N|000-06E
8103|BIELSA|42-37-48N|000-13-27E
8025|BILBAO/AEROPUERTO|43-18N|002-56W
8932|BOI TAHULL|42-29N|000-52E
8146|BUITRAGO|41-00-24N|003-36-48W
8075|BURGOS/VILLAFRIA|42-22N|003-38W
8010|CABO BUSTO|43-34-08N|006-28-10W
8012|CABO PENAS|43-39-20N|005-50-53W
8006|CABO VILAN|43-09-38N|009-12-38W
8261|CACERES|39-28N|006-20W
8452|CADIZ, OBS.|36-30N|006-16W
8233|CALAMOCHA|40-56N|001-18W
8166|CALANDA|40-56-48N|000-14-16W
8156|CALATAYUD|41-19-49N|001-38-43W
8958|CAMARENA DE LA SIERRA|40-07N|001-02W
8914|CANDANCHU, ETUKSA|42-47N|000-32W
8230|CANIZARES|40-31-49N|002-08-58W
8940|CAP DE RAC|42-25-49N|001-40-04E
8940|CAP DE RAC|42-38N|001-15E
8936|CAP DE VAQUEIRA|42-41-31N|000-58-26E
8936|CAP DE VAQUEIRA|42-25N|001-08E
8311|CAPDEPERA-FAR0|39-42-56N|003-28-39E
8365|CARAVACA,FUENTES DEL|38-06-06N|001-52-36W
8068|CARRION DE LOS CONDE|42-21-02N|004-37-00W
8434|CARTAGENA|37-36-06N|000-59-12W
8165|CASPE|41-31-18N|000-10-27W
8165|CASPE|41-14-32N|000-04-06W
8286|CASTELLON-ALMAZORA|39-57N|000-04W
8386|CASTILLO LAS GUARDAS|37-41N|006-20W
8020|CASTRO URDIALES|43-23-40N|003-14-02W
8009|CASTROPOL|43-32-05N|007-01-06W
8392|CAZALLA DE LA SIERRA|37-55-35N|005-46-09W
8353|CAZORLA|37-54-56N|003-00-11W
8007|CERCEDA|43-10N|008-31W
8930|CERLER, ESQU COTA 2000|42-35N|000-32E
8058|CERVERA DE PISUERGA|42-52-14N|004-31-09W
8278|CHINCHILLA/CENAD|38-56-15N|001-39-29W
8363|CIEZA, PARQUE DE BOM|38-13-58N|001-22-50W
8348|CIUDAD REAL|38-59N|003-55W
8219|COLMENAR VIEJO/FAMET|40-41-46N|003-45-54W
8179|CORBERA, PIC D'AGULLES|41-25N|001-53E
8410|CORDOBA/AEROPUERTO|37-51N|004-51W
8251|CORIA|40-00-11N|006-33-27W
8231|CUENCA|40-04N|002-08W
8289|CULLERA|39-11N|000-15W
8157|DAROCA I|41-07N|001-25W
8412|DOA MENCIA|37-33-20N|004-21-14W
8333|DON BENITO|38-57-19N|005-52-49W
8395|ECIJA|37-30-56N|005-05-07W
8384|EL ARENOSILLO|37-06-05N|006-44-13W
8036|ELGOIBAR,IBERDROLA|43-12-33N|002-24-47W
8925|ERISTE, REFUGIO ANGEL ORUS|42-38N|000-27E
8004|ESTACA DE BARES|43-47-08N|007-41-03W
8463|ESTEPONA|36-25-00N|005-09-15W
8926|FANLO, REFUGIO DE GORIZ|42-40N|000-01E
8040|FISTERRA|42-55-27N|009-17-29W
8364|FORTUNA|38-16N|001-11W
8480|FUENGIROLA|36-32-17N|004-37-04W
8014|GIJON-MUSEL|43-33-36N|005-42-03W
8184|GIRONA/COSTA BRAVA|41-54N|002-46E
8419|GRANADA/AEROPUERTO|37-11N|003-47W
8420|GRANADA/BASE AEREA|37-08N|003-38W
8455|GRAZALEMA|36-45-38N|005-22-27W
8226|GUADALAJARA|40-37-49N|003-09-00W
8035|GUENES|43-12-11N|003-06-15W
8355|HELLIN|38-32-30N|001-42-11W
8264|HERRERA DEL DUQUE|39-10-09N|005-03-42W
8335|HINOJOSA DEL DUQUE|38-31N|005-07W
8383|HUELVA|37-17N|006-55W
8428|HUERCAL OVERA|37-23-26N|001-56-35W
8094|HUESCA/PIRINEOS|42-05N|000-20W
8373|IBIZA/ES CODOLA|38-52N|001-23E
8089|ILUNDAIN|42-46-32N|001-31-55W
8030|IRURITA|43-08-08N|001-32-34W
8912|ISABA,  EL FERIAL|42-57N|000-50W
8091|JACA|42-34-42N|000-32-48W
8417|JAEN|37-47N|003-48W
8370|JAVEA, AYUNTAMIENTO|38-47-03N|000-10-00E
8451|JEREZ DE LA FRONTERA AEROPUERTO|36-45N|006-04W
8337|JEREZ DE LOS CABALLE|38-17-52N|006-45-51W
8001|LA CORUNA|43-22N|008-25W
8002|LA CORUNA/ALVEDRO|43-18N|008-23W
8205|LA COVATILLA, ESTACI|40-21-15N|005-41-21W
8117|LA MOLINA|42-20N|001-56E
8143|LA PINILLA, ESTACION|41-11-30N|003-28-31W
8115|LA SEO DURGELL|42-21-15N|001-27-46E
8123|LAGUNAS DE SOMOZA|42-22-37N|006-11-48W
