ID|ESTACION|Estado|Latitud|Longitud
8001|LA CORUNA|SPAIN|43-22N|008-25W
8008|LUGO/ROZAS|SPAIN|43-07N|007-27W
8011|ASTURIAS/AVILES|SPAIN|43-33N|006-02W
8014|GIJON-MUSEL|SPAIN|43-33-36N|005-42-03W
8015|OVIEDO|SPAIN|43-21N|005-52W
8021|SANTANDER/PARAYAS|SPAIN|43-26N|003-49W
8023|SANTANDER|SPAIN|43-28N|003-49W
8025|BILBAO/AEROPUERTO|SPAIN|43-18N|002-56W
8027|SAN SEBASTIAN/IGUELDO|SPAIN|43-18N|002-03W
8029|SAN SEBASTIAN/FUENTERRABIA|SPAIN|43-21N|001-48W
8042|SANTIAGO DE COMPOSTELA/LABACOLLA|SPAIN|42-54N|008-26W
8044|PONTEVEDRA|SPAIN|42-26N|008-37W
8045|VIGO/PEINADOR|SPAIN|42-13N|008-38W
8048|ORENSE|SPAIN|42-20N|007-52W
8053|PONFERRADA|SPAIN|42-32N|006-35W
8055|LEON/VIRGEN DEL CAMINO|SPAIN|42-35N|005-39W
8075|BURGOS/VILLAFRIA|SPAIN|42-22N|003-38W
8080|VITORIA/FORONDA|SPAIN|42-53N|002-43W
8084|LOGRONO/AGONCILLO|SPAIN|42-27N|002-20W
8085|PAMPLONA/NOAIN|SPAIN|42-46N|001-38W
8094|HUESCA/PIRINEOS|SPAIN|42-05N|000-20W
8112|TALARN|SPAIN|42-12N|000-52E
8117|LA MOLINA|SPAIN|42-20N|001-56E
8130|ZAMORA|SPAIN|41-30N|005-45W
8140|VALLADOLID/VILLANUBLA|SPAIN|41-43N|004-51W
8141|VALLADOLID|SPAIN|41-39N|004-46W
8148|SORIA|SPAIN|41-46N|002-28W
8157|DAROCA I|SPAIN|41-07N|001-25W
8160|ZARAGOZA/AEROPUERTO|SPAIN|41-39-38N|001-00-15W
8171|LLEIDA|SPAIN|41-37-34N|000-35-53E
8175|REUS/AEROPUERTO|SPAIN|41-09N|001-10E
8181|BARCELONA/AEROPUERTO|SPAIN|41-17N|002-04E
8184|GIRONA/COSTA BRAVA|SPAIN|41-54N|002-46E
8202|SALAMANCA/MATACAN|SPAIN|40-57N|005-30W
8210|AVILA|SPAIN|40-39N|004-42W
8213|SEGOVIA|SPAIN|40-57N|004-07W
8215|NAVACERRADA, PUERTO|SPAIN|40-47N|004-01W
8221|MADRID/BARAJAS|SPAIN|40-27N|003-33W
8223|MADRID/CUATRO VIENTOS|SPAIN|40-23N|003-47W
8224|MADRID/GETAFE|SPAIN|40-18N|003-43W
8226|GUADALAJARA|SPAIN|40-37-49N|003-09-00W
8231|CUENCA|SPAIN|40-04N|002-08W
8232|MOLINA DE ARAGON|SPAIN|40-51N|001-53W
8233|CALAMOCHA|SPAIN|40-56N|001-18W
8235|TERUEL|SPAIN|40-21N|001-07W
8238|TORTOSA|SPAIN|40-49N|000-30E
8261|CACERES|SPAIN|39-28N|006-20W
8272|TOLEDO|SPAIN|39-53N|004-03W
8280|ALBACETE/LOS LLANOS|SPAIN|38-57N|001-51W
8284|VALENCIA/AEROPUERTO|SPAIN|39-30N|000-28W
8285|VALENCIA VIVEROS|SPAIN|39-29N|000-23W
8286|CASTELLON-ALMAZORA|SPAIN|39-57N|000-04W
8306|PALMA DE MALLORCA/SON SAN JUAN|SPAIN|39-33N|002-44E
8314|MENORCA/AEROPUERTO|SPAIN|39-52N|004-14E
8330|BADAJOZ/TALAVERA LA REAL|SPAIN|38-53N|006-49W
8335|HINOJOSA DEL DUQUE|SPAIN|38-31N|005-07W
8348|CIUDAD REAL|SPAIN|38-59N|003-55W
8359|ALICANTE|SPAIN|38-22N|000-30W
8360|ALICANTE/EL ALTET|SPAIN|38-17N|000-33W
8373|IBIZA/ES CODOLA|SPAIN|38-52N|001-23E
8383|HUELVA|SPAIN|37-17N|006-55W
8391|SEVILLA/SAN PABLO|SPAIN|37-25N|005-54W
8397|MORON DE LA FRONTERA|SPAIN|37-09N|005-37W
8410|CORDOBA/AEROPUERTO|SPAIN|37-51N|004-51W
8417|JAEN|SPAIN|37-47N|003-48W
