ID|ESTACION|Estado|Latitud|Longitud
8001|LA CORUNA|SPAIN|43.36666666666667|-8.416666666666666
8008|LUGO/ROZAS|SPAIN|43.11666666666667|-7.45
8011|ASTURIAS/AVILES|SPAIN|43.55|-6.033333333333333
8014|GIJON-MUSEL|SPAIN|43.56|-5.700833333333334
8015|OVIEDO|SPAIN|43.35|-5.866666666666667
8021|SANTANDER/PARAYAS|SPAIN|43.43333333333333|-3.8166666666666664
8023|SANTANDER|SPAIN|43.46666666666667|-3.8166666666666664
8025|BILBAO/AEROPUERTO|SPAIN|43.3|-2.9333333333333336
8027|SAN SEBASTIAN/IGUELDO|SPAIN|43.3|-2.05
8029|SAN SEBASTIAN/FUENTERRABIA|SPAIN|43.35|-1.8
8042|SANTIAGO DE COMPOSTELA/LABACOLLA|SPAIN|42.9|-8.433333333333334
8044|PONTEVEDRA|SPAIN|42.43333333333333|-8.616666666666667
8045|VIGO/PEINADOR|SPAIN|42.21666666666667|-8.633333333333333
8048|ORENSE|SPAIN|42.333333333333336|-7.866666666666667
8053|PONFERRADA|SPAIN|42.53333333333333|-6.583333333333333
8055|LEON/VIRGEN DEL CAMINO|SPAIN|42.583333333333336|-5.65
8075|BURGOS/VILLAFRIA|SPAIN|42.36666666666667|-3.6333333333333333
8080|VITORIA/FORONDA|SPAIN|42.88333333333333|-2.716666666666667
8084|LOGRONO/AGONCILLO|SPAIN|42.45|-2.3333333333333335
8085|PAMPLONA/NOAIN|SPAIN|42.766666666666666|-1.6333333333333333
8094|HUESCA/PIRINEOS|SPAIN|42.083333333333336|-0.3333333333333333
8130|ZAMORA|SPAIN|41.5|-5.75
8140|VALLADOLID/VILLANUBLA|SPAIN|41.71666666666667|-4.85
8141|VALLADOLID|SPAIN|41.65|-4.766666666666667
8148|SORIA|SPAIN|41.766666666666666|-2.466666666666667
8157|DAROCA I|SPAIN|41.11666666666667|-1.4166666666666667
8160|ZARAGOZA/AEROPUERTO|SPAIN|41.660555555555554|-1.0041666666666667
8202|SALAMANCA/MATACAN|SPAIN|40.95|-5.5
8210|AVILA|SPAIN|40.65|-4.7
8213|SEGOVIA|SPAIN|40.95|-4.116666666666666
8215|NAVACERRADA, PUERTO|SPAIN|40.78333333333333|-4.016666666666667
8221|MADRID/BARAJAS|SPAIN|40.45|-3.55
8223|MADRID/CUATRO VIENTOS|SPAIN|40.38333333333333|-3.783333333333333
8224|MADRID/GETAFE|SPAIN|40.3|-3.716666666666667
8226|GUADALAJARA|SPAIN|40.63027777777778|-3.15
8231|CUENCA|SPAIN|40.06666666666667|-2.1333333333333333
