Fecha|ID|Estacion|Estado_x|Latitud_y|Longitud_y|T. med. (ºC)|T. max (ºC)|T. min (ºC)|Prec. (mm)|Presion/ Geopot.|Dir. vi.|Vel. vi. (Km/h)|Nub.|Prof. nieve (cm)|Insolac. (horas)
31/01/2011|8001|LA CORUNA|SPAIN|43.36666666666667|-8.416666666666666|8.3|10.4|6.2|0.0|1024.1 Hpa|65º(NE)|14|7/8|-|0.7
31/01/2011|8008|LUGO/ROZAS|SPAIN|43.11666666666667|-7.45|2.6|4.4|0.9|0.2|1024.3 Hpa|325º(NW)|2|8/8|-|0.0
31/01/2011|8011|ASTURIAS/AVILES|SPAIN|43.55|-6.033333333333333|5.5|8.0|2.9|0.0|1025.0 Hpa|203º(SW)|6|7/8|-|0.8
31/01/2011|8014|GIJON-MUSEL|SPAIN|43.56|-5.700833333333334|6.6|9.0|4.2|0.0|1024.1 Hpa|224º(SW)|5|7/8|-|0.4
31/01/2011|8015|OVIEDO|SPAIN|43.35|-5.866666666666667|4.4|7.4|1.4|Ip|1024.5 Hpa|235º(SW)|2|7/8|-|1.6
31/01/2011|8021|SANTANDER/PARAYAS|SPAIN|43.43333333333333|-3.8166666666666664|6.4|9.3|3.5|0.0|1023.9 Hpa|260º(W)|9|7/8|-|0.0
31/01/2011|8023|SANTANDER|SPAIN|43.46666666666667|-3.8166666666666664|7.3|8.5|6.2|0.0|1023.0 Hpa|330º(NW)|18|7/8|-|0.1
31/01/2011|8025|BILBAO/AEROPUERTO|SPAIN|43.3|-2.9333333333333336|6.0|7.9|4.2|0.0|1023.4 Hpa|52º(NE)|6|8/8|-|0.0
31/01/2011|8027|SAN SEBASTIAN/IGUELDO|SPAIN|43.3|-2.05|4.3|6.0|2.6|Ip|1021.8 Hpa|114º(SE)|9|8/8|-|0.0
31/01/2011|8029|SAN SEBASTIAN/FUENTERRABIA|SPAIN|43.35|-1.8|5.5|7.6|3.4|0.0|1022.9 Hpa|225º(SW)|3|8/8|-|0.0
31/01/2011|8042|SANTIAGO DE COMPOSTELA/LABACOLLA|SPAIN|42.9|-8.433333333333334|5.0|7.5|2.5|0.0|1025.0 Hpa|10º(N)|11|6/8|-|1.6
31/01/2011|8044|PONTEVEDRA|SPAIN|42.43333333333333|-8.616666666666667|6.8|9.7|4.0|0.0|1023.3 Hpa|7º(N)|10|6/8|-|3.5
31/01/2011|8045|VIGO/PEINADOR|SPAIN|42.21666666666667|-8.633333333333333|6.8|9.9|3.8|0.0|1024.1 Hpa|16º(N)|12|7/8|-|4.0
31/01/2011|8048|ORENSE|SPAIN|42.333333333333336|-7.866666666666667|8.1|12.8|3.3|0.0|1022.5 Hpa|44º(NE)|6|4/8|-|5.4
31/01/2011|8053|PONFERRADA|SPAIN|42.53333333333333|-6.583333333333333|2.7|6.2|-0.8|0.0|1023.2 Hpa|167º(S)|5|2/8|-|9.0
31/01/2011|8055|LEON/VIRGEN DEL CAMINO|SPAIN|42.583333333333336|-5.65|1.1|6.0|-3.8|0.0|1492 m(850 Hpa)|350º(N)|11|0/8|-|9.2
31/01/2011|8075|BURGOS/VILLAFRIA|SPAIN|42.36666666666667|-3.6333333333333333|0.1|1.7|-1.4|0.0|1486 m(850 Hpa)|24º(NE)|13|7/8|-|1.2
31/01/2011|8080|VITORIA/FORONDA|SPAIN|42.88333333333333|-2.716666666666667|1.8|2.9|0.6|0.2|1023.4 Hpa|284º(W)|3|8/8|-|0.0
31/01/2011|8084|LOGRONO/AGONCILLO|SPAIN|42.45|-2.3333333333333335|5.1|7.1|3.1|0.0|1022.0 Hpa|276º(W)|11|6/8|-|0.8
31/01/2011|8085|PAMPLONA/NOAIN|SPAIN|42.766666666666666|-1.6333333333333333|4.0|5.3|2.8|0.0|1021.6 Hpa|340º(N)|20|8/8|-|0.9
31/01/2011|8094|HUESCA/PIRINEOS|SPAIN|42.083333333333336|-0.3333333333333333|4.3|8.7|0.0|0.0|1018.2 Hpa|296º(NW)|12|4/8|-|7.7
31/01/2011|8112|TALARN|SPAIN|42.2|0.8666666666666667|-|- |- |-|-|-|-|-|-|-
31/01/2011|8117|LA MOLINA|SPAIN|42.333333333333336|1.9333333333333333|-|- |- |-|-|-|-|-|-|-
31/01/2011|8130|ZAMORA|SPAIN|41.5|-5.75|2.1|5.4|-1.2|0.0|1023.1 Hpa|350º(N)|6|2/8|-|6.1
31/01/2011|8140|VALLADOLID/VILLANUBLA|SPAIN|41.71666666666667|-4.85|0.5|2.4|-1.5|0.0|1494 m(850 Hpa)|62º(NE)|4|6/8|-|2.5
31/01/2011|8141|VALLADOLID|SPAIN|41.65|-4.766666666666667|1.5|3.2|-0.2|0.0|1021.6 Hpa|15º(N)|7|6/8|-|0.8
31/01/2011|8148|SORIA|SPAIN|41.766666666666666|-2.466666666666667|-|- |- |-|-|-|-|-|-|-
31/01/2011|8157|DAROCA I|SPAIN|41.11666666666667|-1.4166666666666667|1.6|2.9|0.4|0.0|1466 m(850 Hpa)|320º(NW)|4|8/8|2|0.7
